Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Camando to Poblacion 1,4309.3,85.81,87.04,1.23,81.36,80.14,0.03,23.94,8.33,4.16,3103.92,51.72,6211.44,103.5,Concrete,Very Good
Camando to Poblacion 2,4032.36,87.36,87.19,-0.16,149.53,149.69,-0.0,26.32,8.33,4.16,2904.48,48.42,5809.38,96.84,Concrete,Very Good
Camando to Poblacion 3,11757.2,85.2,87.04,1.84,422.52,420.68,0.02,35.49,8.33,4.16,8468.58,141.12,16942.5,282.36,Concrete,Very Good
Lanag to Poblacion 1,3576.22,96.4,87.03,-9.37,59.2,68.57,-0.26,15.07,8.33,4.97,2575.92,42.96,4321.32,72.0,Concrete,Very Good
Lanag to Poblacion 2,13122.54,96.83,87.06,-9.77,363.32,373.09,-0.07,38.28,8.33,4.16,9452.04,157.56,18932.28,315.54,Concrete,Very Good
Lanag to Poblacion 3,10745.97,96.81,87.06,-9.75,251.65,261.4,-0.09,24.3,8.33,4.16,7740.18,129.0,15508.56,258.48,Concrete,Very Good
Nagbangi to Poblacion 1,4627.01,85.4,86.92,1.52,74.25,72.73,0.03,12.94,8.33,4.16,3332.76,55.56,6669.96,111.18,Concrete,Very Good
Nagbangi to Poblacion 2,13239.06,85.39,87.06,1.67,377.78,376.11,0.01,32.13,8.33,4.16,9535.92,158.94,19076.7,317.94,Concrete,Very Good
Nagbangi to Poblacion 3,8999.67,88.12,87.06,-1.06,210.21,211.28,-0.01,24.3,8.33,4.16,6482.34,108.06,12967.8,216.12,Concrete,Very Good
Apian to Poblacion 1,10408.65,243.74,86.95,-156.8,280.76,437.55,-1.51,24.32,8.33,4.35,7497.24,124.98,14348.34,239.16,Concrete,Very Good
Apian to Poblacion 2,18663.81,244.8,87.05,-157.75,639.64,797.39,-0.85,38.54,8.33,4.09,13443.3,224.04,27351.18,455.88,Concrete,Very Good
Apian to Poblacion 3,11967.2,242.19,86.91,-155.28,190.91,346.19,-1.3,37.82,8.33,4.06,8619.84,143.64,17700.12,295.02,Concrete,Very Good
Dorog to Poblacion 1,12362.74,185.29,86.91,-98.38,173.07,271.45,-0.8,24.75,8.33,5.39,8904.72,148.44,13774.44,229.56,Concrete,Very Good
Dorog to Poblacion 2,12349.97,185.29,86.91,-98.38,172.23,270.61,-0.8,24.33,8.33,5.39,8895.54,148.26,13742.52,229.02,Concrete,Very Good
Dorog to Poblacion 3,16471.46,87.02,183.84,96.82,707.7,610.88,0.59,46.4,8.33,4.12,11864.22,197.76,24012.18,400.2,Concrete,Very Good
Dorog to Poblacion 4,19345.37,185.26,87.12,-98.15,669.93,768.08,-0.51,46.33,8.33,4.12,13934.22,232.26,28155.48,469.26,Concrete,Very Good
Dusacan to Poblacion 1,9850.91,139.39,86.91,-52.48,131.16,183.64,-0.53,16.56,8.33,5.09,7095.48,118.26,11608.56,193.5,Concrete,Very Good
Dusacan to Poblacion 2,11449.84,139.41,86.91,-52.51,211.95,264.45,-0.46,23.27,8.33,4.13,8247.18,137.46,16647.36,277.44,Concrete,Very Good
Marirong to Poblacion 1,13394.6,87.02,258.43,171.42,577.18,405.77,1.29,34.74,8.33,5.25,9648.0,160.8,15301.38,255.0,Concrete,Very Good
Marirong to Poblacion 2,15431.01,258.42,86.91,-171.51,302.39,473.9,-1.11,46.22,8.33,4.2,11114.76,185.22,22031.28,367.2,Concrete,Very Good
