Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Cabutongan to Poblacion 3,18141.7,113.61,87.05,-26.56,708.5,735.06,-0.15,38.54,8.33,4.15,1851.19,30.85,3713.32,61.89,Concrete,Very Good
Jamog Gines to Poblacion 1,5563.11,74.91,87.1,12.19,128.22,116.02,0.22,14.85,8.33,5.92,567.66,9.46,798.2,13.3,Concrete,Very Good
Jamog Gines to Poblacion 2,17487.04,75.04,87.05,12.01,652.37,640.35,0.07,38.54,8.33,4.16,1784.39,29.74,3573.71,59.56,Concrete,Very Good
Jamog Gines to Poblacion 3,17621.04,75.05,87.05,12.0,681.52,669.52,0.07,38.54,8.33,4.16,1798.06,29.97,3601.06,60.02,Concrete,Very Good
Jamog Gines to Poblacion 4,8722.57,74.47,87.05,12.58,217.31,204.74,0.14,17.08,8.33,4.15,890.06,14.83,1785.27,29.76,Concrete,Very Good
Jamog Gines to Poblacion 5,9735.19,73.86,87.05,13.19,247.21,234.01,0.14,17.08,8.33,4.15,993.39,16.56,1992.19,33.2,Concrete,Very Good
Jamog Gines to Poblacion 6,8383.57,74.04,87.1,13.06,191.89,178.83,0.16,25.64,8.33,4.15,855.47,14.25,1716.29,28.6,Concrete,Very Good
Jamog Gines to Poblacion 7,7702.48,73.15,87.1,13.95,153.71,139.76,0.18,18.16,8.33,4.15,785.97,13.1,1577.66,26.29,Concrete,Very Good
Isian Norte to Poblacion 1,4291.6,82.63,87.1,4.47,90.4,85.93,0.1,14.85,8.33,6.13,437.92,7.3,595.31,9.92,Concrete,Very Good
Isian Norte to Poblacion 2,7518.0,84.66,87.05,2.38,180.75,178.36,0.03,17.08,8.33,4.16,767.14,12.78,1535.26,25.58,Concrete,Very Good
Isian Norte to Poblacion 3,8531.36,84.58,87.05,2.47,211.32,208.85,0.03,17.08,8.33,4.16,870.54,14.51,1742.1,29.04,Concrete,Very Good
Isian Norte to Poblacion 4,6434.94,83.04,87.1,4.06,117.04,112.98,0.06,18.16,8.33,4.16,656.62,10.95,1314.92,21.91,Concrete,Very Good
Isian Norte to Poblacion 5,7109.66,82.75,87.1,4.35,159.32,154.97,0.06,25.64,8.33,4.16,725.48,12.1,1452.73,24.21,Concrete,Very Good
Mina to Poblacion 1,8199.72,174.54,86.95,-87.59,152.52,240.11,-1.07,34.19,8.33,5.46,836.71,13.95,1276.0,21.27,Concrete,Very Good
Mina to Poblacion 2,18207.02,174.54,87.05,-87.49,642.8,730.29,-0.48,38.54,8.33,4.12,1857.86,30.97,3751.94,62.53,Concrete,Very Good
Mina to Poblacion 3,16565.43,174.51,87.05,-87.46,634.52,721.97,-0.53,38.54,8.33,4.12,1690.35,28.17,3416.97,56.95,Concrete,Very Good
Panginman to Poblacion 1,2299.28,100.03,87.1,-12.93,42.63,55.56,-0.56,11.89,8.33,4.12,234.62,3.91,474.59,7.91,Concrete,Very Good
Panginman to Poblacion 2,4435.23,100.01,87.1,-12.91,79.55,92.46,-0.29,18.16,8.33,4.14,452.57,7.54,910.45,15.17,Concrete,Very Good
Panginman to Poblacion 3,6762.2,100.03,87.1,-12.93,146.46,159.39,-0.19,25.64,8.33,4.15,690.02,11.5,1385.35,23.09,Concrete,Very Good
Panginman to Poblacion 4,9351.43,99.95,87.05,-12.91,197.67,210.58,-0.14,17.08,8.33,4.15,954.23,15.9,1913.75,31.89,Concrete,Very Good
Panginman to Poblacion 5,10348.69,99.53,87.05,-12.49,227.7,240.19,-0.12,17.08,8.33,4.15,1055.99,17.6,2117.09,35.28,Concrete,Very Good
